,CHGOCA,population
0,1,54872
1,10,42525
2,11,27989
3,12,26778
4,13,18451
5,14,50343
6,15,64961
7,16,53665
8,17,44035
9,18,13811
10,19,80701
11,2,77212
12,20,23489
13,21,37909
14,22,73689
15,23,56162
16,24,83290
17,25,94762
18,26,16943
19,27,19738
20,28,62733
21,29,33854
22,3,58424
23,30,74943
24,31,32789
25,32,37647
26,33,24343
27,34,13719
28,35,21268
29,36,6850
30,37,2320
31,38,23200
32,39,17440
33,4,41713
34,40,11355
35,41,27517
36,42,25058
37,43,49410
38,44,30653
39,45,9785
40,46,29021
41,47,2336
42,48,12956
43,49,41106
44,5,35705
45,50,6816
46,51,14697
47,52,24230
48,53,27471
49,54,7262
50,55,9205
51,56,36462
52,57,13082
53,58,45031
54,59,15920
55,6,100547
56,60,33888
57,61,39542
58,62,19336
59,63,39302
60,64,25735
61,65,32176
62,66,52003
63,67,28237
64,68,23792
65,69,30805
66,7,68697
67,70,43986
68,71,45271
69,72,20437
70,73,27354
71,74,19342
72,75,27812
73,76,33371
74,77,57022
75,8,89995
76,9,16181
